"pp_code","gender","age","variable","value"
"1","f",20,"FAT_1",6
"2","f",30,"FAT_1",7
"3","m",25,"FAT_1",7
"4","m",20,"FAT_1",6
"5","f",24,"FAT_1",8
"6","m",32,"FAT_1",5
"7","m",35,"FAT_1",8
"8","f",21,"FAT_1",9
"9","f",22,"FAT_1",5
"10","m",27,"FAT_1",10
"1","f",20,"FAT_2",8
"2","f",30,"FAT_2",8
"3","m",25,"FAT_2",6
"4","m",20,"FAT_2",6
"5","f",24,"FAT_2",9
"6","m",32,"FAT_2",8
"7","m",35,"FAT_2",9
"8","f",21,"FAT_2",10
"9","f",22,"FAT_2",10
"10","m",27,"FAT_2",10
"1","f",20,"FAT_3",9
"2","f",30,"FAT_3",9
"3","m",25,"FAT_3",8
"4","m",20,"FAT_3",8
"5","f",24,"FAT_3",9
"6","m",32,"FAT_3",10
"7","m",35,"FAT_3",7
"8","f",21,"FAT_3",8
"9","f",22,"FAT_3",9
"10","m",27,"FAT_3",8
